id,name,description,caution
1,Humulin R U-100,Individualize. SC or IV inj. SC: Rotate inj sites; onset approx 30 mins-peak 2–4hrs- duration 6–8hrs.,During episodes of hypoglycemia.
2,Rosiglitazone,Adult:  Drug-naive: initially 2mg/500mg once or twice daily-may increase by 2mg/500mg per day after 4 weeks; max 8mg/2000mg per day. Children: <18yrs: not established.,NYHA Class III or IV heart failure. Severe renal impairment (eGFR <30mL/min/1.73m2). Metabolic acidosis-diabetic ketoacidosis.
3,GLP-1,Adults: The typical starting dose for type 2 diabetes is 0.25 mg injected subcutaneously once weekly-which may be increased to 0.5 mg after one month based on efficacy and tolerability. For weight management- the starting dose is typically 5 mg orally once daily- which may be increased gradually to 20 mg daily. Children: The safety and efficacy of GPL1 have not been established in pediatric patients. It is not recommended for use in children under 18 years of age.,Personal or family history of medullary thyroid carcinoma (MTC) or Multiple Endocrine Neoplasia syndrome type 2 (MEN 2). Severe gastrointestinal disease: Such as gastroparesis or severe gastroesophageal reflux disease (GERD).  Hypersensitivity: To GPL1 or any of its excipients.
4,Glucophage (Metforminhydrochlorid),Adults: The usual starting dose for immediate-release Glucophage is 500 mg twice daily or 850 mg once daily-with meals. The dose can be increased gradually to a maximum of 2000-2550 mg per day in divided doses. Children (10 years and older): The usual starting dose for immediate-release tablets is 500 mg twice daily with meals. The dose may be increased gradually to a maximum of 2000 mg per day in divided doses.,Renal impairment: Defined as an estimated glomerular filtration rate (eGFR) below 30 mL/min/1.73 m². Metabolic acidosis: Including diabetic ketoacidosis-with or without coma. Severe liver disease: Due to the risk of lactic acidosis. Hypersensitivity: To metformin hydrochloride or any of its excipients.
5,Sulfonyharstoffe,Adults: Glimepiride: Typically starting at 1-2 mg once daily with breakfast or the first main meal. The dose may be adjusted based on the patient’s response- up to a maximum of 8 mg daily. Glipizide: Usually started at 5 mg once daily- 30 minutes before breakfast. The dose can be adjusted- with a usual maintenance dose of 5-20 mg per day- taken once or twice daily. Children: Safety and Efficacy: The safety and efficacy of sulfonylureas in pediatric patients have not been well established. Generally- sulfonylureas are not recommended for use in children.,Type 1 diabetes mellitus: As these patients lack functional pancreatic beta cells and require insulin therapy. Diabetic ketoacidosis (DKA): As a primary treatment for this acute complication. Severe renal or hepatic impairment: Due to the increased risk of prolonged hypoglycemia and potential toxicity. Pregnancy and lactation: As sulfonylureas can cross the placenta and may cause neonatal hypoglycemia. They are generally not recommended during pregnancy and breastfeeding.
6,Glitazone,Adults: Pioglitazone: The typical starting dose is 15-30 mg once daily- which may be increased to a maximum of 45 mg once daily based on glycemic response and tolerability. Children: Safety and Efficacy: The safety and efficacy of glitazones in pediatric patients have not been established. Therefore- glitazones are generally not recommended for use in children.,Heart failure: Both symptomatic and NYHA Class III or IV heart failure due to the risk of exacerbating heart failure. Severe hepatic impairment: As the drug is metabolized by the liver- and severe liver dysfunction can lead to increased drug levels and toxicity. History of hypersensitivity: To glitazones or any of their components.
7,Gliptine,Adults: Sitagliptin: The typical dose is 100 mg once daily. In patients with moderate renal impairment- the dose is adjusted to 50 mg once daily- and in those with severe renal impairment or end-stage renal disease- the dose is adjusted to 25 mg once daily. Children: Safety and Efficacy: The safety and efficacy of gliptins in pediatric patients have not been established. Therefore- gliptins are generally not recommended for use in children.,Gliptins (Dipeptidyl Peptidase-4 Inhibitors) are contraindicated in patients with: Hypersensitivity: To any of the gliptins or their excipients-which can cause severe allergic reactions including anaphylaxis- angioedema- and exfoliative skin conditions such as Stevens-Johnson syndrome. Type 1 diabetes mellitus: Gliptins are not indicated for the treatment of type 1 diabetes or diabetic ketoacidosis.
8,Sulfonyharstoffe,Adults: Glimepiride: Typically started at 1-2 mg once daily with breakfast or the first main meal. The dose may be adjusted based on the patient’s response- up to a maximum of 8 mg daily. Children: Safety and Efficacy: The safety and efficacy of sulfonylureas in pediatric patients have not been well established. Generally- sulfonylureas are not recommended for use in children.,Sulfonylureas are contraindicated in patients with: Type 1 diabetes mellitus: As these patients lack functional pancreatic beta cells and require insulin therapy. Severe renal or hepatic impairment: Due to the increased risk of prolonged hypoglycemia and potential toxicity. Diabetic ketoacidosis (DKA): As a primary treatment for this acute complication.
9,Sulfonylureas,Adults: Glimepiride: Typically started at 1-2 mg once daily with breakfast or the first main meal. The dose may be adjusted based on the patient’s response-up to a maximum of 8 mg daily. Children: Safety and Efficacy: The safety and efficacy of sulfonylureas in pediatric patients have not been well established. Therefore- sulfonylureas are generally not recommended for use in children.,Sulfonylureas are contraindicated in patients with: Type 1 diabetes mellitus: As these patients lack functional pancreatic beta cells and require insulin therapy. Severe renal or hepatic impairment: Due to the increased risk of prolonged hypoglycemia and potential toxicity. Diabetic ketoacidosis (DKA): As a primary treatment for this acute complication.
10,Flozine,Adults: Dapagliflozin: The usual starting dose is 5 mg once daily-which can be increased to 10 mg once daily if tolerated and if additional glycemic control is needed. Children: Safety and Efficacy: The safety and efficacy of SGLT2 inhibitors in pediatric patients have not been established. Therefore- SGLT2 inhibitors are generally not recommended for use in children.,SGLT2 inhibitors are contraindicated in patients with: Severe renal impairment: Defined as an estimated glomerular filtration rate (eGFR) below 30 mL/min/1.73 m²-or end-stage renal disease requiring dialysis. Type 1 diabetes mellitus: SGLT2 inhibitors are not approved for the treatment of type 1 diabetes due to the increased risk of diabetic ketoacidosis.
